stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,vehicle_type
0:NATHAZNM,NATIONAL STREET at HAZELWOOD AVENUE,st 6974,35.170804,-89.942577,,0,1:NATHAZNM,3
0:NATBAYNF,NATIONAL STREET at BAYLISS AVENUE,st 7009,35.172028,-89.942043,,0,1:NATBAYNF,3
0:ORCNATNM,ORCHI ROAD at NATIONAL STREET,st 6978,35.1781,-89.93808,,0,1:ORCNATNM,3
0:NONDIVEF,NONCONNAH BOULEVARD at DIVIDEND DRIVE,st 7102,35.071531,-90.005515,,0,1:NONDIVEF,3
0:NONPA2EF,NONCONNAH BOULEVARD at PARAGON PLACE,st 7103,35.071858,-89.999699,,0,1:NONPA2EF,3
0:NONCOREN,NONCONNAH BOULEVARD at CORPORATE AVENUE,st 7104,35.073355,-89.992676,,0,1:NONCOREN,3
0:NONDE1SM,NONCONNAH BOULEVARD at DEMOCRAT ROAD,st 2768,35.069761,-89.990213,,0,1:NONDE1SM,3
0:RALROCEF,RALEIGH LAGRANGE ROAD at ROCK RIDGE ROAD,st 7066,35.185141,-89.883993,,0,1:RALROCEF,3
0:FLOFERSN,FLORIDA STREET at EAST FERNWOOD AVENUE,st 4883,35.09272,-90.062947,,0,1:FLOFERSN,3
0:FLONORSN,FLORIDA STREET at NORWOOD AVENUE,st 4884,35.091782,-90.062969,,0,1:FLONORSN,3
0:MALFLOEF,MALLORY AVENUE at FLORIDA STREET,st 5003,35.086536,-90.06214,,0,1:MALFLOEF,3
0:MALSHEEF,MALLORY AVENUE at SHELBY STREET,st 5004,35.086509,-90.060315,,0,1:MALSHEEF,3
0:SHEVESWN,SHELBY DRIVE at VESCOVI LANE,st 2413,35.020502,-89.843781,,0,1:SHEVESWN,3
0:CHEHOLEF,CHELSEA AVENUE at HOLMES STREET,st 4589,35.173197,-89.949139,,0,1:CHEHOLEF,3
0:CHEPANEF,CHELSEA AVENUE at PANAMA STREET,st 4590,35.173462,-89.946448,,0,1:CHEPANEF,3
0:HIGSPOSM,HIGHLAND STREET at SPOTTSWOOD AVENUE,st 3229,35.114481,-89.945868,,0,1:HIGSPOSM,3
0:HIGSPOSF,HIGHLAND STREET at SPOTSWOOD AVENUE,st 7094,35.112898,-89.945947,,0,1:HIGSPOSF,3
0:FOULACSN,4TH STREET at LACLEDE AVENUE,st 4834,35.118833,-90.051171,,0,1:FOULACSN,3
0:PARHIGEF,PARK AVENUE at HIGHLAND STREET,st 2329,35.107812,-89.94517,,0,1:PARHIGEF,3
0:PARPAREN,PARK AVENUE at PARK HAVEN LANE,st 2330,35.107746,-89.942626,,0,1:PARPAREN,3
0:PARROBEN,PARK AVENUE at ROBIN HOOD LANE,st 2331,35.1077,-89.940712,,0,1:PARROBEN,3
0:PARECHEN,PARK AVENUE at ECHLES STREET,st 2332,35.107635,-89.938677,,0,1:PARECHEN,3
0:PARGOOEN,PARK AVENUE at GOODMAN STREET,st 2333,35.107569,-89.9359,,0,1:PARGOOEN,3
0:PARKELEF,PARK AVENUE at KELLEY ROAD,st 2334,35.107522,-89.933676,,0,1:PARKELEF,3
0:PARSHOEN,PARK AVENUE at SHOTWELL STREET,st 2335,35.107475,-89.932061,,0,1:PARSHOEN,3
0:GETRHOSF,GETWELL ROAD at RHODES AVENUE,st 378,35.09902,-89.930992,,0,1:GETRHOSF,3
0:GETKIMSF,GETWELL ROAD at KIMBALL AVENUE,st 373,35.092487,-89.931159,,0,1:GETKIMSF,3
0:GETDUNSF,GETWELL ROAD at DUNN AVENUE,st 206,35.089716,-89.931208,,0,1:GETDUNSF,3
0:GETELLSM,GETWELL ROAD at ELLISTON ROAD,st 2808,35.085489,-89.931304,,0,1:GETELLSM,3
0:GETMALSM,GETWELL ROAD at MALLORY AVENUE,st 2809,35.083988,-89.931329,,0,1:GETMALSM,3
0:GETMALNF,GETWELL ROAD at MALLORY AVENUE,st 2810,35.083836,-89.93113,,0,1:GETMALNF,3
0:GETELLNN,GETWELL ROAD at ELLISTON ROAD,st 2811,35.084819,-89.931118,,0,1:GETELLNN,3
0:JACBAYNN,JACKSON AVENUE at BAYLISS AVENUE,st 3194 (no 975),35.172163,-89.942796,,0,1:500,3
0:JACHOLEF,JACKSON AVENUE at HOLLYWOOD STREET,st 295 (no 109),35.157815,-89.976107,,0,1:103,3
0:RIVBORSN,RIVERDALE ROAD at BORDEAUX LANE,st 7239,35.02442,-89.831459,,0,1:RIVBORSN,3
0:RIVROCSN,RIVERDALE ROAD at ROCKINGHAM ROAD,st 7238,35.027754,-89.831493,,0,1:RIVROCSN,3
0:RIVFOXSN,RIVERDALE ROAD at FOX HEDGE,st 7237,35.031043,-89.831505,,0,1:RIVFOXSN,3
0:RIVRAISF,RIVERDALE ROAD at RAINES ROAD,st 7149,35.034699,-89.831516,,0,1:RIVRAISF,3
0:RIVCHESF,RIVERDALE ROAD at CHESAPEAKE WAY,st 7236,35.038426,-89.831515,,0,1:RIVCHESF,3
0:CRUAMBNN,CRUMPLER ROAD at AMBERWOOD DRIVE,st 6952,35.012441,-89.848545,,0,1:CRUAMBNN,3
0:CRUPINNF,CRUMPLER ROAD at PINE MEADOW LANE,st 2533,35.014552,-89.848628,,0,1:CRUPINNF,3
0:CRUSHENN,CRUMPLER ROAD at SHELBY DRIVE,st 2534,35.020127,-89.848562,,0,1:CRUSHENN,3
0:SHEAMAWF,SHELBY DRIVE at AMANDA OAKS CIRCLE WEST,st 2414,35.020502,-89.853069,,0,1:SHEAMAWF,3
0:SHECRUWM,SHELBY DRIVE at CRUMP BOULEVARD,st 2415,35.020487,-89.855574,,0,1:SHECRUWM,3
0:CHEHOLWM,CHELSEA AVENUE at HOLMES STREET,st 4517,35.173358,-89.949083,,0,1:CHEHOLWM,3
0:CHEELLWN,CHELSEA AVENUE at ELLINGTON STREET,st 4518,35.173386,-89.950766,,0,1:CHEELLWN,3
0:CHEASHWN,CHELSEA AVENUE at ASH STREET,st 4519,35.17347,-89.9536,,0,1:CHEASHWN,3
0:CHEBROWN,CHELSEA AVENUE at BROOKINS STREET,st 4520,35.173525,-89.955516,,0,1:CHEBROWN,3
0:CHESUNWF,CHELSEA AVENUE at SUNSET STREET,st 4522,35.173994,-89.959745,,0,1:CHESUNWF,3
0:CHELAKWN,CHELSEA AVENUE at LAKE GROVE STREET,st 4523,35.17412,-89.961228,,0,1:CHELAKWN,3
0:CHECARWN,CHELSEA AVENUE at CARPENTER STREET,st 4524,35.174301,-89.963287,,0,1:CHECARWN,3
0:CHECARWF,CHELSEA AVENUE at CARPENTER STREET,st 4525,35.174365,-89.965491,,0,1:CHECARWF,3
0:CHEFAIWM,CHELSEA AVENUE at FAIRFAX STREET,st 4526,35.174466,-89.967849,,0,1:CHEFAIWM,3
0:CHEFAIWN,CHELSEA AVENUE at FAIRFAX STREET,st 4527,35.174548,-89.970307,,0,1:CHEFAIWN,3
0:CHESTAWN,CHELSEA AVENUE at STANDRIDGE STREET,st 4528,35.174603,-89.971824,,0,1:CHESTAWN,3
0:CHEMERWF,CHELSEA AVENUE at MERTON STREET,st 4529,35.174649,-89.973252,,0,1:CHEMERWF,3
0:FROPOPSN,FRONT STREET at POPLAR AVENUE,st 603,35.150621,-90.052183,,0,1:FROPOPSN,3
0:FROADASM,FRONT STREET at ADAMS AVENUE,st 604,35.148503,-90.052925,,0,1:FROADASM,3
0:RIVCOUSN,RIVERSIDE DRIVE at COURT AVENUE,st 6709,35.146547,-90.05515,,0,1:RIVCOUSN,3
0:JACBINEN,JACKSON AVENUE at BINGHAM STREET,st 3919,35.157865,-89.971724,,0,1:JACBINEN,3
0:SYCSYCSM,SYCAMORE VIEW RD at SYCAMORE RIDGE ROAD,st 7070,35.17773,-89.87172,,0,1:SYCSYCSM,3
0:SYCPLESF,SYCAMORE VIEW ROAD at PLEASANT VIEW ROAD,st 7071,35.172927,-89.869319,,0,1:SYCPLESF,3
0:SYCSUMSF,SYCAMORE VIEW ROAD at SUMMER AVENUE,st 4132,35.171083,-89.867475,,0,1:SYCSUMSF,3
0:SYCSHESM,SYCAMORE VIEW ROAD at SHELBY OAKS DRIVE,st 4133,35.170456,-89.866823,,0,1:SYCSHESM,3
0:RESSY1EM,SYCAMORE VIEW ROAD at RESOURCES DRIVE,st 4038,35.158461,-89.860301,,0,1:RESSY1EM,3
0:SYCMACNM,SYCAMORE VIEW ROAD at MACON ROAD,st 4039,35.161699,-89.859353,,0,1:SYCMACNM,3
0:SYCSHENN,SYCAMORE VIEW ROAD at SHELBY OAKS DRIVE,st 4040,35.168084,-89.864239,,0,1:SYCSHENN,3
0:DANPLUSN,DANNY THOMAS BOULEVARD at PLUM AVENUE,st 676,35.180841,-90.035699,,0,1:DANPLUSN,3
0:DANCORSF,DANNY THOMAS BOULEVARD at CORRINE AVENUE,st 677,35.17934,-90.035766,,0,1:DANCORSF,3
0:STELEWEF,ST ELMO AVENUE at LEWEIR STREET,st 1465,35.231233,-89.997902,,0,1:STELEWEF,3
0:STEDENEN,ST ELMO AVENUE at DENVER STREET,st 1466,35.231204,-89.995575,,0,1:STEDENEN,3
0:VOLSPEWN,VOLLINTINE AVENUE at SPEED STREET,st 3850,35.16497,-90.012323,,0,1:VOLSPEWN,3
0:VOLCLAWN,VOLLINTINE AVENUE at CLAYBROOK STREET,st 3851,35.165131,-90.013962,,0,1:VOLCLAWN,3
0:POPESTWN,POPLAR AVENUE at ESTATE PLACE,st 2019,35.107409,-89.883507,,0,1:POPESTWN,3
0:FIEOUTWN,FIELDS ROAD at OUTLET ROAD,st 5588,35.049691,-90.10529,,0,1:FIEOUTWN,3
0:FIEOSCWN,FIELDS ROAD at OSCEOLA ROAD,st 5589,35.04969,-90.107191,,0,1:FIEOSCWN,3
0:FIECOOWN,FIELDS ROAD at COOK ROAD,st 5590,35.049698,-90.109568,,0,1:FIECOOWN,3
0:WILWATEM,NEW WILLOW ROAD at WATSON STREET,st 2812,35.086639,-89.930082,,0,1:WILWATEM,3
0:LATMCLSF,LATHAM STREET at MCLEMORE AVENUE,st 4838,35.115629,-90.052622,,0,1:LATMCLSF,3
0:LATLUCSN,LATHAM STREET at LUCY AVENUE,st 4839,35.11448,-90.05255,,0,1:LATLUCSN,3
